Type gefailleerde,"Bedrijven, instellingen en eenmanszaken",Natuurlijk persoon met eenmanszaak,Bedrijven en instellingen
"A Landbouw, bosbouw en visserij",32,5,27
B Delfstoffenwinning,0,0,0
C Industrie,161,10,151
D Energievoorziening,5,0,5
E Waterbedrijven en afvalbeheer,5,1,4
F Bouwnijverheid,340,132,208
G Handel,428,51,377
H Vervoer en opslag,136,26,110
I Horeca,134,14,120
J Informatie en communicatie,76,4,72
K Financiële dienstverlening,181,1,180
L Verhuur en handel van onroerend goed,37,2,35
M Specialistische zakelijke diensten,224,12,212
N Verhuur en overige zakelijke diensten,164,20,144
O Openbaar bestuur en overheidsdiensten,0,0,0
P Onderwijs,18,0,18
Q Gezondheids- en welzijnszorg,112,1,111
"R Cultuur, sport en recreatie",32,4,28
S Overige dienstverlening,51,8,43
T Huishoudens,0,0,0
SBI-code onbekend,9,0,9
