Gemeente,Totaal misdrijven_2018,Totaal misdrijven_2019,Totaal misdrijven,Totaal misdrijven_2021,Totaal misdrijven_2022
Aa en Hunze,526,647,609,600,646
Aalsmeer,1 090,1 048,1 093,988,983
Aalten,492,574,551,500,534
Achtkarspelen,674,690,682,633,609
Alblasserdam,578,606,751,591,523
Albrandswaard,958,1 097,1 166,958,1 004
Alkmaar,5 320,5 343,5 462,4 983,5 919
Almelo,3 490,3 662,3 748,3 600,4 319
Almere,9 760,10 117,9 878,8 588,8 875
Alphen aan den Rijn,3 685,4 009,4 355,4 206,4 121
Alphen-Chaam,253,277,298,295,281
Altena,1 240,1 510,1 730,1 420,1 486
Ameland,97,104,91,95,104
Amersfoort,7 313,7 455,7 295,6 287,7 071
Amstelveen,3 971,3 774,3 942,3 609,3 622
Amsterdam,80 140,79 929,69 847,63 583,75 648
Apeldoorn,7 069,7 084,7 494,6 849,7 040
Arnhem,10 498,11 536,11 068,10 526,10 726
Assen,2 990,3 521,3 643,3 326,3 374
Asten,500,648,626,563,613
Baarle-Nassau,176,215,197,218,211
Baarn,1 084,1 089,1 043,872,883
Barendrecht,1 836,1 993,1 924,1 743,1 885
Barneveld,1 642,1 685,1 821,1 928,1 832
Beek,590,671,718,565,629
Beekdaelen,1 013,1 116,1 151,1 038,1 100
Beesel,348,395,389,399,372
Berg en Dal,954,1 117,1 137,1 105,1 283
Bergeijk,490,494,534,492,478
Bergen (L.),356,327,363,507,409
Bergen (NH.),821,805,907,874,854
Bergen op Zoom,3 136,3 559,3 462,3 439,3 093
Berkelland,979,1 018,947,1 006,1 115
Bernheze,815,960,919,924,920
Best,1 074,1 074,1 229,1 152,1 247
Beuningen,762,869,891,782,722
Beverwijk,1 791,1 903,1 810,1 797,2 001
De Bilt,1 457,1 628,1 790,1 567,1 672
Bladel,574,568,682,647,571
Blaricum,325,428,356,334,367
Bloemendaal,886,841,1 049,948,947
Bodegraven-Reeuwijk,1 135,1 060,1 183,1 133,1 340
Boekel,245,256,261,282,353
Borger-Odoorn,535,598,586,600,588
Borne,569,635,611,603,790
Borsele,369,438,517,470,472
Boxtel,1 153,1 236,1 233,1 280,1 145
Breda,10 414,10 960,10 895,9 878,10 752
Brielle,654,636,605,687,671
Bronckhorst,608,705,724,689,723
Brummen,505,588,595,557,585
Brunssum,1 252,1 212,1 133,1 211,1 170
Bunnik,570,543,541,457,418
Bunschoten,503,624,628,593,605
Buren,567,679,751,694,671
Capelle aan den IJssel,2 727,2 882,3 026,2 661,2 715
Castricum,963,1 043,1 031,941,1 116
Coevorden,1 234,1 306,1 257,1 083,1 164
Cranendonck,752,801,885,906,984
Culemborg,941,1 039,1 293,988,1 017
Dalfsen,404,429,488,469,481
Dantumadiel,366,409,395,385,365
Delft,5 566,5 503,5 316,5 073,5 592
Deurne,988,1 102,1 095,1 096,1 099
Deventer,4 647,4 654,4 491,4 166,4 645
Diemen,1 520,1 553,1 745,1 578,1 552
Dijk en Waard,2 889,3 231,3 392,2 949,3 295
Dinkelland,404,429,393,412,538
Doesburg,367,337,320,302,304
Doetinchem,2 123,2 298,2 270,2 290,2 508
Dongen,689,661,734,663,740
Dordrecht,6 235,6 297,6 255,5 441,6 134
Drechterland,453,541,517,551,477
Drimmelen,650,730,896,780,789
Dronten,1 285,1 553,1 341,1 271,1 410
Druten,465,474,481,461,492
Duiven,824,823,873,658,765
Echt-Susteren,1 107,1 158,1 266,1 201,1 461
Edam-Volendam,745,853,783,812,834
Ede,4 817,4 875,4 811,4 957,4 871
Eemnes,297,233,280,304,225
Eemsdelta,1 535,1 628,1 587,1 710,1 705
Eersel,678,591,609,615,654
Eijsden-Margraten,788,770,687,634,624
Eindhoven,17 096,18 091,16 950,14 976,17 170
Elburg,508,580,576,640,669
Emmen,3 856,4 108,4 320,4 376,4 691
Enkhuizen,743,739,761,798,791
Enschede,8 900,8 978,10 092,8 406,10 125
Epe,944,863,967,905,909
Ermelo,993,1 012,1 108,928,974
Etten-Leur,1 560,1 767,1 714,1 706,1 675
De Fryske Marren,1 234,1 320,1 380,1 251,1 108
Geertruidenberg,834,870,992,802,790
Geldrop-Mierlo,1 349,1 416,1 641,1 612,1 545
Gemert-Bakel,807,916,962,980,998
Gennep,415,520,509,556,607
Gilze en Rijen,973,1 003,1 010,993,1 104
Goeree-Overflakkee,1 174,1 296,1 364,1 424,1 548
Goes,1 617,1 750,1 671,1 728,1 796
Goirle,648,715,776,759,727
Gooise Meren,2 831,2 946,2 761,2 495,2 352
Gorinchem,1 461,1 659,1 780,1 521,1 442
Gouda,3 934,3 923,3 742,3 385,3 563
's-Gravenhage,34 419,36 727,36 848,35 157,37 280
Groningen,13 512,13 586,12 377,11 363,13 402
Gulpen-Wittem,418,447,518,435,474
Haaksbergen,608,618,589,527,547
Haarlem,8 019,8 369,8 061,7 398,8 869
Haarlemmermeer,6 188,6 293,5 937,5 987,6 567
